x[km] y[km] z[km] vx[km] vy[km] vz[km]
-104541556.825 28067107.619  0.000 -9.074 -33.809  0.000 
-105284754.891 25135051.062  0.000 -8.126 -34.049  0.000 
-105945722.407 22183367.044  0.000 -7.171 -34.263  0.000 
-106523943.150 19214360.707  0.000 -6.211 -34.450  0.000 
-107018965.475 16230350.708  0.000 -5.246 -34.610  0.000 
-107430402.672 13233667.412  0.000 -4.276 -34.744  0.000 
-107757933.261 10226651.079  0.000 -3.304 -34.850  0.000 
-108001301.252 7211650.033  0.000 -2.329 -34.928  0.000 
-108160316.335 4191018.836  0.000 -1.352 -34.980  0.000 
-108234854.036 1167116.453  0.000 -0.373 -35.004  0.000 
-108224855.809 -1857695.591  0.000  0.605 -35.001  0.000 
-108130329.089 -4881055.047  0.000  1.583 -34.971  0.000 
-107951347.280 -7900600.787  0.000  2.559 -34.913  0.000 
-107688049.701 -10913974.642  0.000  3.534 -34.828  0.000 
-107340641.482 -13918823.243  0.000  4.506 -34.715  0.000 
-106909393.399 -16912799.853  0.000  5.475 -34.576  0.000 
-106394641.668 -19893566.202  0.000  6.439 -34.410  0.000 
-105796787.685 -22858794.302  0.000  7.398 -34.216  0.000 
-105116297.711 -25806168.268  0.000  8.351 -33.996  0.000 
-104353702.511 -28733386.124  0.000  9.298 -33.750  0.000 
-103509596.946 -31638161.594  0.000 10.238 -33.477  0.000 
-102584639.504 -34518225.890  0.000 11.169 -33.178  0.000 
-101579551.794 -37371329.478  0.000 12.092 -32.853  0.000 
-100495117.982 -40195243.833  0.000 13.006 -32.503  0.000 
-99332184.183 -42987763.180  0.000 13.909 -32.127  0.000 
-98091657.802 -45746706.211  0.000 14.801 -31.725  0.000 
-96774506.831 -48469917.791  0.000 15.682 -31.300  0.000 
-95381759.093 -51155270.634  0.000 16.551 -30.849  0.000 
-93914501.446 -53800666.972  0.000 17.407 -30.375  0.000 
-92373878.933 -56404040.180  0.000 18.249 -29.877  0.000 
-90761093.899 -58963356.402  0.000 19.077 -29.355  0.000 
-89077405.046 -61476616.129  0.000 19.890 -28.811  0.000 
-87324126.462 -63941855.765  0.000 20.687 -28.244  0.000 
-85502626.594 -66357149.159  0.000 21.469 -27.655  0.000 
-83614327.182 -68720609.110  0.000 22.233 -27.044  0.000 
-81660702.156 -71030388.838  0.000 22.981 -26.412  0.000 
-79643276.490 -73284683.433  0.000 23.710 -25.760  0.000 
-77563625.006 -75481731.258  0.000 24.421 -25.088  0.000 
-75423371.158 -77619815.334  0.000 25.112 -24.395  0.000 
-73224185.762 -79697264.673  0.000 25.785 -23.684  0.000 
-70967785.699 -81712455.591  0.000 26.437 -22.955  0.000 
-68655932.571 -83663812.977  0.000 27.068 -22.207  0.000 
-66290431.336 -85549811.521  0.000 27.678 -21.442  0.000 
-63873128.901 -87368976.911  0.000 28.267 -20.660  0.000 
-61405912.676 -89119886.987  0.000 28.833 -19.862  0.000 
-58890709.114 -90801172.849  0.000 29.377 -19.049  0.000 
-56329482.200 -92411519.935  0.000 29.899 -18.220  0.000 
-53724231.926 -93949669.047  0.000 30.396 -17.378  0.000 
-51076992.731 -95414417.337  0.000 30.870 -16.522  0.000 
-48389831.912 -96804619.249  0.000 31.320 -15.653  0.000 
-45664848.016 -98119187.421  0.000 31.746 -14.771  0.000 
-42904169.198 -99357093.532  0.000 32.146 -13.878  0.000 
-40109951.568 -100517369.114  0.000 32.522 -12.975  0.000 
-37284377.503 -101599106.308  0.000 32.872 -12.061  0.000 
-34429653.948 -102601458.579  0.000 33.197 -11.137  0.000 
-31548010.691 -103523641.380  0.000 33.495 -10.205  0.000 
-28641698.626 -104364932.771  0.000 33.767 -9.265  0.000 
-25712987.995 -105124673.986  0.000 34.013 -8.318  0.000 
-22764166.614 -105802269.948  0.000 34.233 -7.364  0.000 
-19797538.090 -106397189.747  0.000 34.426 -6.404  0.000 
-16815420.020 -106908967.049  0.000 34.591 -5.440  0.000 
-13820142.184 -107337200.474  0.000 34.730 -4.471  0.000 
-10814044.720 -107681553.906  0.000 34.842 -3.499  0.000 
-7799476.303 -107941756.766  0.000 34.926 -2.523  0.000 
-4778792.305 -108117604.225  0.000 34.983 -1.546  0.000 
-1754352.958 -108208957.368  0.000 35.013 -0.568  0.000 
1271478.493 -108215743.311  0.000 35.016  0.411  0.000 
4296337.636 -108137955.257  0.000 34.991  1.389  0.000 
7317860.740 -107975652.510  0.000 34.938  2.367  0.000 
10333686.600 -107728960.431  0.000 34.859  3.342  0.000 
13341458.390 -107398070.345  0.000 34.752  4.316  0.000 
16338825.498 -106983239.398  0.000 34.618  5.285  0.000 
19323445.371 -106484790.356  0.000 34.457  6.251  0.000 
22292985.342 -105903111.359  0.000 34.269  7.211  0.000 
25245124.457 -105238655.623  0.000 34.054  8.166  0.000 
28177555.294 -104491941.090  0.000 33.813  9.115  0.000 
31087985.761 -103663550.024  0.000 33.545 10.057  0.000 
33974140.897 -102754128.562  0.000 33.251 10.991  0.000 
36833764.648 -101764386.215  0.000 32.931 11.916  0.000 
39664621.635 -100695095.310  0.000 32.585 12.832  0.000 
42464498.904 -99547090.398  0.000 32.214 13.737  0.000 
45231207.658 -98321267.599  0.000 31.818 14.633  0.000 
47962584.969 -97018583.908  0.000 31.396 15.516  0.000 
50656495.476 -95640056.447  0.000 30.951 16.388  0.000 
53310833.055 -94186761.675  0.000 30.480 17.247  0.000 
55923522.468 -92659834.549  0.000 29.987 18.092  0.000 
58492520.992 -91060467.638  0.000 29.469 18.923  0.000 
61015820.014 -89389910.194  0.000 28.929 19.740  0.000 
63491446.612 -87649467.174  0.000 28.366 20.541  0.000 
65917465.095 -85840498.229  0.000 27.781 21.326  0.000 
68291978.522 -83964416.634  0.000 27.174 22.094  0.000 
70613130.190 -82022688.191  0.000 26.546 22.845  0.000 
72879105.090 -80016830.080  0.000 25.897 23.578  0.000 
75088131.326 -77948409.676  0.000 25.228 24.293  0.000 
77238481.509 -75819043.324  0.000 24.539 24.989  0.000 
79328474.108 -73630395.075  0.000 23.831 25.665  0.000 
81356474.770 -71384175.386  0.000 23.104 26.321  0.000 
83320897.602 -69082139.783  0.000 22.360 26.957  0.000 
85220206.415 -66726087.487  0.000 21.597 27.571  0.000 
87052915.927 -64317860.006  0.000 20.818 28.164  0.000 
88817592.929 -61859339.697  0.000 20.023 28.735  0.000 
90512857.413 -59352448.294  0.000 19.212 29.284  0.000 
92137383.646 -56799145.400  0.000 18.386 29.809  0.000 
93689901.220 -54201426.958  0.000 17.545 30.311  0.000 
95169196.042 -51561323.686  0.000 16.691 30.790  0.000 
96574111.289 -48880899.488  0.000 15.824 31.245  0.000 
97903548.315 -46162249.840  0.000 14.944 31.675  0.000 
99156467.513 -43407500.149  0.000 14.053 32.080  0.000 
100331889.133 -40618804.086  0.000 13.151 32.460  0.000 
101428894.047 -37798341.902  0.000 12.238 32.815  0.000 
102446624.473 -34948318.722  0.000 11.316 33.145  0.000 
103384284.646 -32070962.816  0.000 10.385 33.448  0.000 
104241141.447 -29168523.853  0.000  9.446 33.725  0.000 
105016524.970 -26243271.141  0.000  8.499 33.976  0.000 
105709829.055 -23297491.847  0.000  7.546 34.200  0.000 
106320511.761 -20333489.210  0.000  6.587 34.398  0.000 
106848095.791 -17353580.731  0.000  5.623 34.568  0.000 
107292168.865 -14360096.360  0.000  4.654 34.712  0.000 
107652384.046 -11355376.673  0.000  3.682 34.828  0.000 
107928460.008 -8341771.033  0.000  2.707 34.917  0.000 
108120181.262 -5321635.755  0.000  1.730 34.979  0.000 
