x[km] y[km] z[km] vx[km] vy[km] vz[km]
1251.982 1624.560  0.000  0.000  0.000  0.000 
1256.373 1651.291  0.000  0.000  0.000  0.000 
1260.499 1678.061  0.000  0.000  0.000  0.000 
1264.362 1704.862  0.000  0.000  0.000  0.000 
1267.961 1731.689  0.000  0.000  0.000  0.000 
1271.297 1758.536  0.000  0.000  0.000  0.000 
1274.371 1785.394  0.000  0.000  0.000  0.000 
1277.184 1812.259  0.000  0.000  0.000  0.000 
1279.737 1839.123  0.000  0.000  0.000  0.000 
1282.031 1865.981  0.000  0.000  0.000  0.000 
1284.068 1892.825  0.000  0.000  0.000  0.000 
1285.849 1919.650  0.000  0.000  0.000  0.000 
1287.376 1946.450  0.000  0.000  0.000  0.000 
1288.652 1973.218  0.000  0.000  0.000  0.000 
1289.677 1999.949  0.000  0.000  0.000  0.000 
1290.455 2026.635  0.000  0.000  0.000  0.000 
1290.987 2053.273  0.000  0.000  0.000  0.000 
1291.277 2079.855  0.000  0.000  0.000  0.000 
1291.326 2106.376  0.000 -0.000  0.000  0.000 
1291.138 2132.831  0.000 -0.000  0.000  0.000 
1290.716 2159.214  0.000 -0.000  0.000  0.000 
1290.062 2185.519  0.000 -0.000  0.000  0.000 
1289.181 2211.742  0.000 -0.000  0.000  0.000 
1288.074 2237.876  0.000 -0.000  0.000  0.000 
1286.747 2263.918  0.000 -0.000  0.000  0.000 
1285.201 2289.861  0.000 -0.000  0.000  0.000 
1283.442 2315.702  0.000 -0.000  0.000  0.000 
1281.472 2341.435  0.000 -0.000  0.000  0.000 
1279.296 2367.056  0.000 -0.000  0.000  0.000 
1276.917 2392.560  0.000 -0.000  0.000  0.000 
1274.340 2417.943  0.000 -0.000  0.000  0.000 
1271.570 2443.201  0.000 -0.000  0.000  0.000 
1268.610 2468.329  0.000 -0.000  0.000  0.000 
1265.464 2493.324  0.000 -0.000  0.000  0.000 
1262.138 2518.182  0.000 -0.000  0.000  0.000 
1258.635 2542.899  0.000 -0.000  0.000  0.000 
1254.961 2567.471  0.000 -0.000  0.000  0.000 
1251.121 2591.896  0.000 -0.000  0.000  0.000 
1247.118 2616.169  0.000 -0.000  0.000  0.000 
1242.958 2640.288  0.000 -0.000  0.000  0.000 
1238.646 2664.250  0.000 -0.000  0.000  0.000 
1234.187 2688.052  0.000 -0.000  0.000  0.000 
